"subject","game","choice"
52,"ac_6",3
52,"ac_7",1
52,"ac_8",3
52,"ac_9",3
52,"ac_10",1
53,"ac_1",3
53,"ac_2",1
53,"ac_3",1
53,"ac_4",1
53,"ac_5",1
53,"ac_6",3
53,"ac_7",3
53,"ac_8",3
53,"ac_9",3
53,"ac_10",3
54,"ac_1",3
54,"ac_2",1
54,"ac_3",1
54,"ac_4",1
54,"ac_5",1
54,"ac_6",1
54,"ac_7",1
54,"ac_8",1
54,"ac_9",1
54,"ac_10",1
55,"ac_1",1
55,"ac_2",3
55,"ac_3",2
55,"ac_4",1
55,"ac_5",2
55,"ac_6",2
55,"ac_7",2
55,"ac_8",1
55,"ac_9",2
55,"ac_10",2
56,"ac_1",3
56,"ac_2",3
56,"ac_3",2
56,"ac_4",1
56,"ac_5",2
56,"ac_6",3
56,"ac_7",2
56,"ac_8",1
56,"ac_9",3
56,"ac_10",3
57,"ac_1",3
57,"ac_2",2
57,"ac_3",1
57,"ac_4",1
57,"ac_5",1
57,"ac_6",1
57,"ac_7",1
57,"ac_8",1
57,"ac_9",1
57,"ac_10",1
58,"ac_1",3
58,"ac_2",2
58,"ac_3",2
58,"ac_4",2
58,"ac_5",2
58,"ac_6",3
58,"ac_7",3
58,"ac_8",3
58,"ac_9",3
58,"ac_10",3
59,"ac_1",1
59,"ac_2",3
59,"ac_3",3
59,"ac_4",3
59,"ac_5",1
59,"ac_6",3
59,"ac_7",1
59,"ac_8",3
59,"ac_9",1
59,"ac_10",3
60,"ac_1",1
60,"ac_2",1
60,"ac_3",1
60,"ac_4",1
60,"ac_5",1
60,"ac_6",1
60,"ac_7",1
60,"ac_8",1
60,"ac_9",1
60,"ac_10",3
61,"ac_1",1
61,"ac_2",1
61,"ac_3",1
61,"ac_4",3
61,"ac_5",1
61,"ac_6",1
61,"ac_7",1
61,"ac_8",3
61,"ac_9",1
61,"ac_10",1
62,"ac_1",3
62,"ac_2",2
62,"ac_3",2
62,"ac_4",1
62,"ac_5",3
62,"ac_6",3
62,"ac_7",3
62,"ac_8",3
62,"ac_9",3
62,"ac_10",3
63,"ac_1",3
63,"ac_2",2
63,"ac_3",2
63,"ac_4",1
63,"ac_5",1
63,"ac_6",3
63,"ac_7",2
63,"ac_8",1
63,"ac_9",2
63,"ac_10",3
64,"ac_1",3
64,"ac_2",3
64,"ac_3",2
64,"ac_4",1
64,"ac_5",1
64,"ac_6",3
64,"ac_7",3
64,"ac_8",3
64,"ac_9",3
64,"ac_10",3
65,"ac_1",3
65,"ac_2",3
65,"ac_3",1
65,"ac_4",3
65,"ac_5",3
65,"ac_6",3
65,"ac_7",3
65,"ac_8",3
65,"ac_9",3
